date,total_pnl,mean_pnl,pnl_volatility,max_loss,trades,unique_traders,avg_trade_size,total_volume,total_fees,avg_exposure,buy_trades,sell_trades,buy_sell_ratio,value,classification,sentiment
2024-01-10,0.0,0.0,0.0,0.0,4,1,34988.58,139954.32,48.98401,0.5640899948097077,4,0,4.0,73,Greed,Greed
2024-01-11,1040.475736,45.238075478260875,154.1983753462747,-3.48624,23,2,11347.001304347827,260981.03,90.654875,2519.0997797566592,13,10,1.1818181818181819,76,Extreme Greed,Greed
2024-01-12,40886.364494,98.28453003365385,338.03944268346726,-11.881397,416,9,1958.441875,814711.82,245.38375138,8559.553369169134,144,272,0.5274725274725275,71,Greed,Greed
2024-02-01,783.979116,46.11641858823529,134.42834386429288,-252.794221,17,1,7138.1611764705885,121348.74,30.337176,12248.148212154556,9,8,1.0,63,Greed,Greed
2024-02-02,456.423473,10.867225547619048,41.93124714430262,-75.50372,42,1,11292.343571428572,474278.43,91.569636,1003.3295853673934,19,23,0.7916666666666666,63,Greed,Greed
2024-02-03,230.90060000000005,7.448406451612905,250.64780257055287,-343.651308,31,2,2038.6309677419354,63197.56,-0.4691290000000001,21023.63790976814,28,3,7.0,60,Greed,Greed
2024-02-04,883.760812,21.555141756097562,78.23542802217051,0.0,41,2,5845.475853658536,239664.50999999998,80.13257399999999,145.31972018836169,10,31,0.3125,60,Greed,Greed
2024-02-06,192.906947,2.074268247311828,4.425015055071825,0.0,93,1,316.822688172043,29464.51,7.792912,336.4350567429322,34,59,0.5666666666666667,64,Greed,Greed
2024-02-07,2421.253116,134.514062,226.36405308073617,0.0,18,1,1852.6372222222224,33347.47,11.458730000000001,634.4611412089652,13,5,2.1666666666666665,62,Greed,Greed
2024-02-08,782.3681909999999,12.418542714285714,44.14907581961201,0.0,63,3,6290.799523809524,396320.37,145.520462,1084.6645312287742,42,21,1.9090909090909092,66,Greed,Greed
2024-02-09,0.0,0.0,0.0,0.0,2,1,15000.21,30000.42,10.500148,6.182849016938221,2,0,2.0,72,Greed,Greed
2024-02-10,0.0,0.0,0.0,0.0,4,1,24988.585,99954.34,34.984016999999994,0.4102474922427738,4,0,4.0,74,Greed,Greed
2024-02-11,0.0,0.0,0.0,0.0,2,1,20000.0,40000.0,13.999997,0.2903600464576032,2,0,2.0,71,Greed,Greed
2024-02-12,18489.604313,68.48001597407408,379.90364074572494,-13.4992,270,8,2167.568740740741,585243.56,147.88781359,781.351438771926,156,114,1.3565217391304347,70,Greed,Greed
2024-03-01,866.015507,12.925604582089552,50.415365667933756,-15.013542,67,1,5888.050149253731,394499.36,98.624811,962.7182839377338,32,35,0.8888888888888888,80,Extreme Greed,Greed
2024-03-02,223.30918699999998,3.9876640535714283,68.62663189543068,-181.331015,56,1,10782.5,603820.0,109.662349,172.52263166557782,18,38,0.46153846153846156,80,Extreme Greed,Greed
2024-03-03,8361.086245,105.83653474683545,199.82398269178753,0.0,79,1,4946.1478481012655,390745.68,-2.507103,617403.4874684431,36,43,0.8181818181818182,83,Extreme Greed,Greed
2024-03-04,126.7884,31.6971,63.3942,0.0,4,2,4221.8925,16887.57,1.661201,577.5004484841331,3,1,1.5,82,Extreme Greed,Greed
2024-03-05,5306.017045,147.3893623611111,280.85451321791754,-13.155237,36,3,7852.295833333333,282682.64999999997,98.910681,1181.3193569841724,3,33,0.08823529411764706,90,Extreme Greed,Greed
2024-03-06,562.808208,8.040117257142859,11.849209775400267,0.0,70,1,306.66942857142857,21466.86,5.378086,274.27569846674277,44,26,1.6296296296296295,75,Extreme Greed,Greed
2024-03-07,1118.387284,62.132626888888886,130.94390209637675,0.0,18,2,9977.814444444444,179600.66,62.628682,14.254511189023226,18,0,18.0,82,Extreme Greed,Greed
2024-03-08,464.1897,12.545667567567568,76.3123165975776,0.0,37,5,7852.239459459459,290532.86,108.653106,1943.455740527099,36,1,18.0,81,Extreme Greed,Greed
2024-03-10,100.375782,11.152864666666666,20.273575382952355,0.0,9,2,14770.632222222222,132935.69,46.527491000000005,419.7766274752115,6,3,1.5,79,Extreme Greed,Greed
2024-03-11,0.0,0.0,0.0,0.0,6,2,21509.27666666667,129055.66,40.404152,21569.442348422042,6,0,6.0,82,Extreme Greed,Greed
2024-03-12,23576.539285,63.03887509358289,229.00768096588675,-112.995805,374,8,2900.177887700535,1084666.53,330.57309170999997,671.7825489771222,170,204,0.8292682926829268,81,Extreme Greed,Greed
2024-04-01,-67.60364,-13.520728,29.544005214373353,-66.3633,5,1,19958.508,99792.54000000001,24.948132,9.019160372568473,2,3,0.5,79,Extreme Greed,Greed
2024-04-02,47.62389499999999,1.360682714285714,31.922762604224417,-89.857229,35,1,5805.358,203187.53,50.52688,597.2884378740669,19,16,1.1176470588235294,79,Extreme Greed,Greed
2024-04-03,27799.775742,92.66591914,152.8211043688667,-0.02808,300,2,5259.989566666667,1577996.87,-0.559449,122975.33741045746,161,139,1.15,71,Greed,Greed
2024-04-04,0.0,0.0,0.0,0.0,32,1,2999.6165625,95987.73,33.595684999999996,0.8838845574472689,0,32,0.0,70,Greed,Greed
2024-04-05,0.0,0.0,0.0,0.0,9,2,6555.416666666667,58998.75,20.649559,64436.433205419075,0,9,0.0,79,Extreme Greed,Greed
2024-04-06,52.211438,0.9851214716981133,2.4828445149485265,0.0,53,1,457.42283018867926,24243.41,7.432953,46.85530240495469,25,28,0.8620689655172413,75,Extreme Greed,Greed
2024-04-07,0.0,0.0,0.0,0.0,25,2,17222.720400000002,430568.01,113.02464499999999,12.11960419996392,25,0,25.0,78,Extreme Greed,Greed
2024-04-08,-122672.000883,-965.9212667952756,3618.961540622186,-18360.67007,127,5,9509.795826771655,1207744.07,445.902235,1783.9735467696748,60,67,0.8823529411764706,76,Extreme Greed,Greed
2024-04-09,1065.785132,31.346621529411763,462.16602470807555,-1726.167456,34,2,3867.0873529411765,131480.97,63.570226999999996,1535.6126456125717,31,3,7.75,80,Extreme Greed,Greed
2024-04-10,0.0,0.0,,0.0,1,1,0.34,0.34,0.0,309.090628099429,0,1,0.0,78,Extreme Greed,Greed
2024-04-11,2799.410474,77.76140205555555,118.94285081013497,0.0,36,2,12550.332499999999,451811.97,158.13418000000001,3595.034435495942,13,23,0.5416666666666666,76,Extreme Greed,Greed
2024-04-12,292891.815021,918.1561599404388,4090.2838520231076,-75.381453,319,7,2411.5600313479626,769287.65,172.60641765,42272.52155358416,96,223,0.42857142857142855,79,Extreme Greed,Greed
2024-05-01,164.141565,2.486993409090909,60.7235758141571,-231.8397,66,1,25817.31303030303,1703942.66,425.985639,3.8152675733950336,31,35,0.8611111111111112,54,Neutral,Neutral
2024-05-02,-33.45419400000003,-0.4646415833333337,46.10792460482958,-161.589,72,1,10697.198055555556,770198.26,165.549465,413.07821383681267,33,39,0.825,43,Fear,Fear
2024-05-03,19791.026041,109.95014467222222,195.65804028577477,0.0,180,1,4676.724,841810.32,-4.438459,249929.39218737424,55,125,0.4365079365079365,48,Neutral,Neutral
2024-05-04,10706.484306,107.06484306,304.1028007265851,0.0,100,3,5037.918,503791.8,103.430138,2085.1520484911366,17,83,0.20238095238095238,67,Greed,Greed
2024-05-05,0.916,0.15266666666666667,0.37395543406489856,0.0,6,2,4011.391666666667,24068.350000000002,8.412778,2.60479956793252,1,5,0.16666666666666666,69,Greed,Greed
2024-05-06,56.055506,1.038064925925926,2.9096994557928553,-0.00696,54,1,469.4587037037037,25350.77,7.1040600000000005,45.40883540476821,17,37,0.4473684210526316,71,Greed,Greed
2024-05-07,0.0,0.0,0.0,0.0,32,2,8509.0590625,272289.89,95.130717,167.3492389791214,32,0,32.0,68,Greed,Greed
2024-05-08,-13013.665169,-162.6708146125,795.0273715447163,-5028.066368,80,4,5256.1925,420495.4,202.719158,5276.778337304319,41,39,1.025,64,Greed,Greed
2024-05-09,0.0,0.0,,0.0,1,1,0.84,0.84,0.0,10782.916778988716,0,1,0.0,55,Greed,Greed
2024-05-10,5767.161892,155.86924032432432,217.0879728346648,0.0,37,2,16367.722702702702,605605.74,211.961771,61.619012821608166,9,28,0.3103448275862069,66,Greed,Greed
2024-05-11,678.4759280000001,67.8475928,93.32108146532121,0.0,10,1,20062.723,200627.23,70.219524,0.2962490123913858,5,5,0.8333333333333334,53,Neutral,Neutral
2024-05-12,71574.11848800001,156.96078615789474,1402.284112762816,-158.805986,456,8,2756.0324342105264,1256750.79,352.76572323,165.85538864754818,192,264,0.7245283018867924,56,Greed,Greed
2024-06-01,135.58166400000002,6.16280290909091,37.338371573804935,-120.90096,22,1,13569.154545454547,298521.4,74.630342,321.7011576856719,11,11,0.9166666666666666,72,Greed,Greed
2024-06-02,-215.615907,-0.19817638511029412,12.69131338108202,-104.602479,1088,1,7396.280707720588,8047153.41,988.606997,50970.13937163328,518,570,0.9071803852889667,73,Greed,Greed
2024-06-03,6814.825139,83.10762364634145,146.9693030530839,0.0,82,1,3990.4636585365856,327218.02,-3.355318,133599.3180447381,49,33,1.4411764705882353,73,Greed,Greed
2024-06-04,236.33513399999998,14.770945874999999,42.149058574016486,0.0,16,1,4263.979375,68223.67,23.878277,1.2800500477325827,0,16,0.0,73,Greed,Greed
2024-06-05,968.59038,107.62115333333333,237.64601629026436,0.0,9,1,22890.714444444442,206016.43,72.105746,7.342155682087494,8,1,4.0,75,Extreme Greed,Greed
2024-06-06,274.173187,1.1716802863247862,3.3659483181601715,-0.335041,234,1,587.8536752136753,137557.76,37.079424,303.8193074708434,102,132,0.7669172932330827,78,Extreme Greed,Greed
2024-06-07,108.87217799999999,4.53634075,10.03473956812726,0.0,24,1,103.75708333333334,2490.17,344.35416,40982.351081727036,17,7,2.125,77,Extreme Greed,Greed
2024-06-08,267.318048,2.4982995140186914,8.28376598603028,-0.12379,107,2,574.5642990654205,61478.38,62.621279,2856.582862116624,76,31,2.375,72,Greed,Greed
2024-06-09,-1104.856765,-26.306113452380952,21.910908628012873,-142.946134,42,2,929.6928571428571,39047.1,13.666476,34.51499104989374,4,38,0.10256410256410256,75,Extreme Greed,Greed
2024-06-10,130.487079,5.9312308636363635,17.741123762831634,0.0,22,1,13642.298181818182,300130.56,105.045693,0.2190022567851087,6,16,0.35294117647058826,72,Greed,Greed
2024-06-11,2817.83723,187.85581533333334,309.14971367702964,-2.94399,15,2,8260.46,123906.9,43.36741,778.9119242375147,6,9,0.6,74,Greed,Greed
2024-06-12,-92624.643895,-229.83782604218362,6326.353243835444,-117990.1041,403,10,8612.950918114144,3471019.22,691.99378587,269.66904492029903,205,198,1.0301507537688441,72,Greed,Greed
